client_product,iwd_product,article_number,combined_score
Bio Eier aus ökologischer Erzeugung,BIO Topfkräuter Mix aus Deutschland,261154,0.6200000047683716
Bio Eier aus ökologischer Erzeugung,"Bio Hummus verschiedene Sorten, 180 g ",545575,0.6140000224113464
Bio Eier aus ökologischer Erzeugung,Bio-Dinkelvollkorn-Krusti,596552,0.6029999852180481
Bio Eier aus ökologischer Erzeugung,"BIO Bio-Joghurt Natur, Naturland zertifiziert, 150 g",583298,0.5419999957084656
Nachhaltige Knotenbeutel vollständig recycelbar,"MEINE KÄSETHEKE Frischkäse Vielfalt, verschiedene Sorten, 100g",202759,0.425000011920929
Nachhaltige Knotenbeutel vollständig recycelbar,"MENTOS Kaudragees verschiedene Sorten, PK",112115,0.4090000092983246
Nachhaltige Knotenbeutel vollständig recycelbar,ALMARE Garnelen 100g,211397,0.4040000140666962
Nachhaltige Knotenbeutel vollständig recycelbar,"GÜLDENHOF Geflügelfrikadellen, verschiedene Sorten, 500 g, PK",203618,0.3989999890327454
Nachhaltige Knotenbeutel vollständig recycelbar,"LANDFREUDE Faden-Nester Suppennudeln mit frischen, Hühnereiern, 500 g",194368,0.3840000033378601
Aldi Mehrweg-Frischenetz,"LANDFRIEDE Gewalztee Bandnudeln, glattrigedelt",194462,0.5070000290870667
Aldi Mehrweg-Frischenetz,"WILTMAANN Genießer-Teller, verschiedene Sorten, 80 g, PK",534077,0.4990000128746033
Aldi Mehrweg-Frischenetz,"RITTER SPORT Mini Turm verschiedene Sorten, 116g, 150g",664783,0.4449999928474426
Aldi Mehrweg-Frischenetz,"BON-RI Express Reis pur verschiedene Sorten, 250g",194327,0.4440000057220459
Aldi Mehrweg-Frischenetz,LANDFREUDE Bandnudeln 500 g,489111,0.4420000016689301
Bio Maronen aus Italien,BIO Tortelloni verschiedene Sorten,645969,0.7149999737739563
Bio Maronen aus Italien,Bio-Dinkelvollkorn-Krusti,596552,0.6610000133514404
Bio Maronen aus Italien,"Bio Hummus verschiedene Sorten, 180 g ",545575,0.6520000100135803
Bio Maronen aus Italien,BIO Bio NL Apfelmus ungezuckert,605624,0.6380000114440918
Bio Maronen aus Italien,BIO Bio Lachsspezialitäten verschiedene Sorten,618323,0.6119999885559082
Farmer Naturals Erdnüsse in Schale,FARMER NATURALS Walnusskerne 200 g,271186,0.6930000185966492
Farmer Naturals Erdnüsse in Schale,"FARMER NATURALS Paranusskerne, 200 g",274411,0.6759999990463257
Farmer Naturals Erdnüsse in Schale,FARMER Erdnüsse im Teigmantel Paprika,317272,0.675000011920929
Farmer Naturals Erdnüsse in Schale,"Farmer Cashew-Erdnuss-Mix Honig & Salz/Hot Chili, 200 g",185515,0.6470000147819519
Farmer Naturals Erdnüsse in Schale,FARMER NATURALS Cashew-Cranberry-Mix 200g,499898,0.6380000114440918
Naturlieblinge Feigen getrocknet,"NATUR LIEBLINGE Eisbergsalat Klasse: 1 Stück, Ursprung: s. Etikett!",228479,0.6830000281333923
Naturlieblinge Feigen getrocknet,HUR NUR NATUR Bio-Spaghetti Dinkel,486241,0.609000027179718
Naturlieblinge Feigen getrocknet,GARDENLINE Rasensamen für trockene Landschaften,627981,0.5839999914169312
Naturlieblinge Feigen getrocknet,Nur Nur Natur Bio-Heujuwel 200 g,487852,0.5389999747276306
Naturlieblinge Feigen getrocknet,"MY VAY Vegane Vielfalt, verschiedene Sorten",549562,0.5360000133514404
Naturlieblinge Aprikosen getrocknet,"NATUR LIEBLINGE Kirschen lose Klasse: I, je kg, Ursprung: Türkei",228189,0.7070000171661377
Naturlieblinge Aprikosen getrocknet,HUR NUR NATUR Bio-Spaghetti Dinkel,486241,0.6399999856948853
Naturlieblinge Aprikosen getrocknet,"MY VAY Vegane Vielfalt, verschiedene Sorten",549562,0.593999981880188
Naturlieblinge Aprikosen getrocknet,Gösser NaturRadler,580973,0.5820000171661377
Naturlieblinge Aprikosen getrocknet,Nur Nur Natur Bio-Heujuwel 200 g,487852,0.5460000038146973
Naturlieblinge Datteln getrocknet,"NATUR LIEBLINGE Eisbergsalat Klasse: 1 Stück, Ursprung: s. Etikett!",228479,0.7179999947547913
Naturlieblinge Datteln getrocknet,"NATUR LIEBLINGE Kirschen lose Klasse: I, je kg, Ursprung: Türkei",228189,0.6660000085830688
Naturlieblinge Datteln getrocknet,HUR NUR NATUR Bio-Spaghetti Dinkel,486241,0.6549999713897705
Naturlieblinge Datteln getrocknet,GARDENLINE Rasensamen für trockene Landschaften,627981,0.6389999985694885
Naturlieblinge Datteln getrocknet,Nur Nur Natur Bio-Heujuwel 200 g,487852,0.5960000157356262
Naturlieblinge Pfannengemüse-Mix sort.,"NATUR LIEBLINGE Kirschen lose Klasse: I, je kg, Ursprung: Türkei",228189,0.6930000185966492
Naturlieblinge Pfannengemüse-Mix sort.,"NATUR LIEBLINGE Speisezwiebeln gelb, Klasse: II, 1,5kg, Ursprung: Neuseeland",537014,0.6660000085830688
Naturlieblinge Pfannengemüse-Mix sort.,"NATUR LIEBLINGE Spargel Krumme Dinger aus Deutschland 1,5kg, Ursprung: Deutschland",582825,0.6579999923706055
Naturlieblinge Pfannengemüse-Mix sort.,HUR NUR NATUR Bio-Spaghetti Dinkel,486241,0.6169999837875366
Naturlieblinge Pfannengemüse-Mix sort.,"Birnen Nashi, Stück, Ursprung: China",229079,0.5410000085830688
Naturlieblinge Salatvariationen; Family-Mix / Salat-Mix XXL,"NATUR LIEBLINGE Salatvariationen Family-Mix 400g, Ursprung: s. Etikett",464171,0.8169999718666077
Naturlieblinge Salatvariationen; Family-Mix / Salat-Mix XXL,FARMER NATURALS Feinste Nuss-Variation 200 g,296287,0.550000011920929
Naturlieblinge Salatvariationen; Family-Mix / Salat-Mix XXL,"WONNEMEYER Olivenvariationen verschiedene Sorten, 100 g",202719,0.5109999775886536
Naturlieblinge Salatvariationen; Family-Mix / Salat-Mix XXL,"FARMER NATURALS Genuss-Mix verschiedene Sorten, 200g",280708,0.4569999873638153
Naturlieblinge Salatvariationen; Family-Mix / Salat-Mix XXL,ALMARE SEAFOOD Thunfisch in Sonnenblumenöl 195g,309666,0.4449999928474426
Naturlieblinge Salat-Mix sort. Eisberg; Rohkost150-/200g,"NATUR LIEBLINGE Salatvariationen 200g/150g, Ursprung: s. Etikett 3,45/4,60/kg",470472,0.6880000233650208
Naturlieblinge Salat-Mix sort. Eisberg; Rohkost150-/200g,"NATURBELIEBTE - KLEINE SCHÄTZE Trockenfrüchte, sortiert Aprikosen, Datteln, 200g",626937,0.6700000166893005
Naturlieblinge Salat-Mix sort. Eisberg; Rohkost150-/200g,"Berner-Würstchen verschiedene Sorten, 300 g, 250 g, PK",205629,0.5860000252723694
Naturlieblinge Salat-Mix sort. Eisberg; Rohkost150-/200g,"FARMER NATURALS Cashewkerne natur 200 g, 12,45/kg",185458,0.5740000009536743
Naturlieblinge Salat-Mix sort. Eisberg; Rohkost150-/200g,"Bergader Bergbauern Käse mild-nussig / würzig-nussig, 150 g",204115,0.5619999766349792
Snack Time Sushi Family,"Snackstick Hähnchen Kebab-Style Plundergebäck mit, 80% Geflügelfleischzeugnis, Stück",641601,0.5419999957084656
Snack Time Sushi Family,TASTE OF BRITISH ISLES TK Fish & Chips 1 kg,334442,0.4830000102519989
Snack Time Sushi Family,GOURMET FINEST CUISINE Premium Donuts Raspberry Queen/Chocolate King,601806,0.460999995470047
Snack Time Sushi Family,"Deftige Mahlzeiten, verschiedene Sorten, 800 g",575138,0.4309999942779541
Snack Time Sushi Family,HARIBO Happy Cola Fruit/Saurer Zoo,523082,0.3930000066757202
Snack Time Sushi-Box sort. 200-/210g,TASTE OF BRITISH ISLES TK Fish & Chips 1 kg,334442,0.5230000019073486
Snack Time Sushi-Box sort. 200-/210g,"Snackstick Hähnchen Kebab-Style Plundergebäck mit, 80% Geflügelfleischzeugnis, Stück",641601,0.5220000147819519
Snack Time Sushi-Box sort. 200-/210g,"SWEET LAND Gummibären, 300 g",557281,0.5210000276565552
Snack Time Sushi-Box sort. 200-/210g,ALMARE SEAFOOD Mini-Pack Räucherlachs 90 g,307182,0.5019999742507935
Snack Time Sushi-Box sort. 200-/210g,"MEINE KUCHENWELT Cheesecake NY Cheesecake 450g, Key Lime Pie 450g, Choc Chip 370g",657317,0.4670000076293945
Snack Time Onigiri sort.,"Snackstick Hähnchen Kebab-Style Plundergebäck mit, 80% Geflügelfleischzeugnis, Stück",641601,0.5019999742507935
Snack Time Onigiri sort.,"Deftige Mahlzeiten, verschiedene Sorten, 800 g",575138,0.4869999885559082
Snack Time Onigiri sort.,LE GUSTO Fixprodukte Mix 1 verschiedene Sorten,542134,0.4679999947547913
Snack Time Onigiri sort.,TASTE OF BRITISH ISLES TK Fish & Chips 1 kg,334442,0.4259999990463257
Snack Time Onigiri sort.,GOURMET FINEST CUISINE Premium Donuts Raspberry Queen/Chocolate King,601806,0.4059999883174896
Wonnemeyer Sushi Maki Mix sort.,"WONNEMEYER Weißkrautsalat, 1000g",673907,0.6869999766349792
Wonnemeyer Sushi Maki Mix sort.,Weltmeister- Chia-Brötchen,187626,0.6340000033378601
Wonnemeyer Sushi Maki Mix sort.,"GUT DREI EICHEN | GÜLDENHOF Schnitzel-Spezialitäten, verschiedene Sorten, PK",649891,0.5770000219345093
Wonnemeyer Sushi Maki Mix sort.,"VALENSINA Einfach Schorle, Apfel-Zitrone, Apfel-Kirsche, BO",657328,0.5609999895095825
Wonnemeyer Sushi Maki Mix sort.,"Schinken-Käse-Croissant Plunderhörnchen gefüllt, mit Schinken und Käse, Stück",187150,0.5529999732971191
Wonnemeyer Frische Salatdressing sort.,WONNEMEYER Frischer Blätterteig 275 g,211172,0.675000011920929
Wonnemeyer Frische Salatdressing sort.,"WONNEMEYER Hummus verschiedene Sorten, 200g",202835,0.6470000147819519
Wonnemeyer Frische Salatdressing sort.,Weltmeister- Chia-Brötchen,187626,0.5839999914169312
Wonnemeyer Frische Salatdressing sort.,"GUT DREI EICHEN Bayerischer Leberkäse, verschiedene Sorten, PK",202738,0.5820000171661377
Wonnemeyer Frische Salatdressing sort.,"GUT DREI EICHEN | GÜLDENHOF Schnitzel-Spezialitäten, verschiedene Sorten, PK",649891,0.492000013589859
Wonnemeyer Salat Menü Classic Salatmenü mit Dressing sort.,"Kinder Bueno Eis Classic/white, 360 ml",496979,0.5329999923706055
Wonnemeyer Salat Menü Classic Salatmenü mit Dressing sort.,"WONNEMEYER Oliven Kräuter oder Knoblauch-Kräuter, 300g",205483,0.5130000114440918
Wonnemeyer Salat Menü Classic Salatmenü mit Dressing sort.,"GOURMET FINEST CUISINE wildlachsfilet mit Topping Spinat-Topping, Gemüse-Topping, 700 g",275075,0.4909999966621399
Wonnemeyer Salat Menü Classic Salatmenü mit Dressing sort.,ALMARE SEAFOOD Thunfisch in Sonnenblumenöl 195g,309666,0.4510000050067902
Wonnemeyer Salat Menü Classic Salatmenü mit Dressing sort.,"VALENSINA Einfach Schorle, Apfel-Zitrone, Apfel-Kirsche, BO",657328,0.4490000009536743
Daylicious Salatcup Frischer Salat mit Dressing sort.,GOURMET FINEST CUISINE Mini Pack Thunfisch Bonito del Norte in Olivenöl,592125,0.5889999866485596
Daylicious Salatcup Frischer Salat mit Dressing sort.,ALMARE SEAFOOD MSC Thunfisch in Dressing FANCY verschiedene Sorten,615707,0.5849999785423279
Daylicious Salatcup Frischer Salat mit Dressing sort.,HARIBO Happy Cola Fruit/Saurer Zoo,523082,0.5419999957084656
Daylicious Salatcup Frischer Salat mit Dressing sort.,GOURMET FINEST CUISINE Tiefsee-Scallops Fleisch der Kammmuschel,534877,0.5360000133514404
Daylicious Salatcup Frischer Salat mit Dressing sort.,LE GUSTO Fix Spaghetti Bolognese 37g,435076,0.5139999985694885
BBQ Dorade Royal ganz kg-Preis,"BBQ Bratwurstschnecke 300 g, PK",203094,0.4869999885559082
BBQ Dorade Royal ganz kg-Preis,"BBQ Grill- und Pfannenkäse verschiedene Sorten, 150g",655809,0.4839999973773956
BBQ Dorade Royal ganz kg-Preis,"BBQ Mini Brioche Burger Buns, 200 g",559478,0.4670000076293945
BBQ Dorade Royal ganz kg-Preis,"BBQ Kräuter-/Knoblauchbrot, verschiedene Sorten, 250g",491355,0.4420000016689301
BBQ Dorade Royal ganz kg-Preis,"MEINE KÄSETHEKE Schweizer Käseauswahl verschiedene Sorten, für 200g z.B. 22,49 €/KG",557714,0.4320000112056732
Golden Seafood Garnelen-Sortiment sort.,"GOLDEN SEAFOOD Schlemmerfilet verschiedene Sorten, 400 g",191397,0.7300000190734863
Golden Seafood Garnelen-Sortiment sort.,GOLDEN SEAFOOD Eismeergarnelen aus Grönland 270 g,518117,0.7250000238418579
Golden Seafood Garnelen-Sortiment sort.,GOLDEN SEAFOOD Pangasius-Filets 540 g,308121,0.7070000171661377
Golden Seafood Garnelen-Sortiment sort.,"GOLDEN SEAFOOD Knusperfilets verschiedene Sorten, 400 g",192100,0.7059999704360962
Golden Seafood Garnelen-Sortiment sort.,"GOLDEN SEAFOOD Regenbogenforellen, 1000 g + 35 g Gewürzsalz",263361,0.6899999976158142
BBQ Garnelenspieße mariniert sort.,"Jack's Farm Lammsteaks gesalzen / mariniert, 400 g",191688,0.5879999995231628
BBQ Garnelenspieße mariniert sort.,"Fladenbrot Weizenkleingebäck, Stück ",659866,0.546999990940094
BBQ Garnelenspieße mariniert sort.,BERMONT Bonbon Kräuterli verschiedene Sorten,194088,0.5180000066757202
BBQ Garnelenspieße mariniert sort.,"Spitzweck Weizenbrötchen, Stück",263393,0.5059999823570251
BBQ Garnelenspieße mariniert sort.,Obstknoten- beutel,212268,0.4930000007152557
Fair & Gut Premium Burger Sortiment vom Rind sort.,"FAIR&GUT Burger Sortiment vom Rind, frischer Angus Burger oder Prime Burger, 260g",658528,0.7459999918937683
Fair & Gut Premium Burger Sortiment vom Rind sort.,"Burger-Sortiment Doppelpack Beef Burger/, Chicken Burger, 2 x 160 g, PK",204235,0.6200000047683716
Fair & Gut Premium Burger Sortiment vom Rind sort.,"MY VAY VEG. Würstchen Sortiment Vegane Bratwurst oder Veggie Wiener Art, 200 g",651431,0.578000009059906
Fair & Gut Premium Burger Sortiment vom Rind sort.,"HOFBURGER Frischkäse Kräuter, 300 g",202493,0.5630000233650208
Fair & Gut Premium Burger Sortiment vom Rind sort.,HOFBURGER Butterkäse 400g,204594,0.5379999876022339
Bio Burger vom Rind,"BIO Bio Burger vom Rind, 260 g",642555,0.8040000200271606
Bio Burger vom Rind,Bio-Leberwurst kg-Preis für 177g z.B.,512653,0.5730000138282776
Bio Burger vom Rind,BIO Bio NL Apfelmus ungezuckert,605624,0.5600000023841858
Bio Burger vom Rind,"BIO Bio-Speisefrühkartoffeln, 1,5kg, festkochend, DE-ÖKO-044, Ursprung: s. Etikett",230210,0.5
Bio Burger vom Rind,"BIO NATURLAND Bio-Rote Beete aus Deutschland vakuumiert, 500g, DE-ÖKO-044, Ursprung: Deutschland",508033,0.4979999959468842
Fair & Gut Hamburger vom Rind,"FAIR&GUT Hamburger vom Rind, 4x100 g, 400 g",642554,0.7440000176429749
Fair & Gut Hamburger vom Rind,FAIR&GUT Hackfleisch vom Rind,550925,0.6800000071525574
Fair & Gut Hamburger vom Rind,"FAIR&GUT Burger Sortiment vom Rind, frischer Angus Burger oder Prime Burger, 260g",658528,0.628000020980835
Fair & Gut Hamburger vom Rind,JACK'S FARM Beef Burger 500 g,601807,0.5590000152587891
Fair & Gut Hamburger vom Rind,"GOLDÄHREN Hamburger Brötchen verschiedene Sorten, 300 g",468528,0.5400000214576721
Bio Bratwurst vom Schwein,"BIO Bio-Wurst-Spezialitäten verschiedene Sorten, PK",203158,0.6930000185966492
Bio Bratwurst vom Schwein,"BIO Bio Leber-/Teewurst im Becher verschiedene Sorten, PK",265644,0.6880000233650208
Bio Bratwurst vom Schwein,Bio-Dinkelvollkorn-Krusti,596552,0.652999997138977
Bio Bratwurst vom Schwein,BIO Bio NL Apfelmus ungezuckert,605624,0.6299999952316284
Bio Bratwurst vom Schwein,Bio-Nüsse Bio Mandeln Bio-Walnusskerne 200g,471594,0.6179999709129333
Meine Metzgerei Bratwurst grob,"Süßkartoffeln, je kg, Ursprung: USA, KGM",230754,0.6299999952316284
Meine Metzgerei Bratwurst grob,"Spitzweck Weizenbrötchen, Stück",263393,0.6159999966621399
Meine Metzgerei Bratwurst grob,"PICKERD Tortencreme hell, Erdbeere",666053,0.5979999899864197
Meine Metzgerei Bratwurst grob,"Birnen Nashi, Stück, Ursprung: China",229079,0.5899999737739563
Meine Metzgerei Bratwurst grob,FARMER Erdnüsse im Teigmantel Paprika,317272,0.5889999866485596
BBQ Fair & Gut Bratwurst Merguez Rind-& Lammfleisch,"GUT DREI EICHEN Schinkenfleischwurst 650 g, PK",202803,0.6600000262260437
BBQ Fair & Gut Bratwurst Merguez Rind-& Lammfleisch,"GUT DREI EICHEN Bratwurst 1000 g, PK",487879,0.6380000114440918
BBQ Fair & Gut Bratwurst Merguez Rind-& Lammfleisch,"GÜLDENHOF Geflügel-Fleischwurst 2 x 250 g, PK",202972,0.6259999871253967
BBQ Fair & Gut Bratwurst Merguez Rind-& Lammfleisch,"GUT DREI EICHEN Frischwurst-Sortiment, verschiedene Sorten, 200 g, PK",202989,0.6019999980926514
BBQ Fair & Gut Bratwurst Merguez Rind-& Lammfleisch,"GUT DREI EICHEN Streich-Minis Sahneleberwurst, Teewurst, 130 g, PK",202673,0.5950000286102295
Fair&Gut Bayerischer Leberkäse vom Schwein,"PICKERD Tortencreme hell, Erdbeere",666053,0.6570000052452087
Fair&Gut Bayerischer Leberkäse vom Schwein,"Birnen Nashi, Stück, Ursprung: China",229079,0.6129999756813049
Fair&Gut Bayerischer Leberkäse vom Schwein,"NATUR LIEBLINGE Spargel Krumme Dinger aus Deutschland 1,5kg, Ursprung: Deutschland",582825,0.6100000143051147
Fair&Gut Bayerischer Leberkäse vom Schwein,"NATUR LIEBLINGE Bunter Salat mit Wurzelballen Stück, Ursprung: Deutschland",453866,0.6019999980926514
Fair&Gut Bayerischer Leberkäse vom Schwein,"NATUR LIEBLINGE Topf Basilikum XL aus Deutschland Stück, Ursprung: Deutschland",317290,0.5920000076293945
Fair & Gut Cevapcici vom Rind,"PICKERD Tortencreme hell, Erdbeere",666053,0.5479999780654907
Fair & Gut Cevapcici vom Rind,"Dinkel- Sonnenkernweck Dinkelkleingebäck, Stück",263389,0.5429999828338623
Fair & Gut Cevapcici vom Rind,"Spitzweck Weizenbrötchen, Stück",263393,0.5429999828338623
Fair & Gut Cevapcici vom Rind,"Rosinenschnecke, Hefekleingebäck mit Quarkfüllung und Rosinen, Stück",263472,0.5239999890327454
Fair & Gut Cevapcici vom Rind,Dinkelbürli,270407,0.4909999966621399
Golden Seafood Doradenfilet,"GOLDEN SEAFOOD Doraden, 1000 g + 35 g Gewürzsalz",199241,0.8029999732971191
Golden Seafood Doradenfilet,"GOLDEN SEAFOOD Riesengarnelenschwänze Natur, 225 g",191940,0.7689999938011169
Golden Seafood Doradenfilet,GOLDEN SEAFOOD Eismeergarnelen aus Grönland 270 g,518117,0.75
Golden Seafood Doradenfilet,"GOLDEN SEAFOOD Riesengarnelenschwänze Provencale, 250 g",191938,0.7350000143051147
Golden Seafood Doradenfilet,"GOLDEN SEAFOOD Kap- Seehecht-Filets Rosmarin/Lemon Pepper 400 g, Natur 360 g",191376,0.7099999785423279
Gourmet Norwegische Lachsfiletseite mit Haut,GOURMET FINEST CUISINE Blätterteig-Minis verschiedene Sorten,191295,0.6629999876022339
Gourmet Norwegische Lachsfiletseite mit Haut,GOURMET FINEST CUISINE Leber-Pâté verschiedene Sorten,589486,0.6610000133514404
Gourmet Norwegische Lachsfiletseite mit Haut,FARMER Erdnüsse im Teigmantel Paprika,317272,0.6240000128746033
Gourmet Norwegische Lachsfiletseite mit Haut,GOURMET FINEST CUISINE Tiefsee-Scallops Fleisch der Kammmuschel,534877,0.6159999966621399
Gourmet Norwegische Lachsfiletseite mit Haut,Le Gusto Klare Brühe im Glas verschiedene Sorten,623334,0.5879999995231628
